Day, Total Cases, Active Cases, New Cases, Population
186, 23, 0, 0, 8000000000
187, 23, 0, 0, 8000000000
188, 23, 0, 0, 8000000000
189, 23, 0, 0, 8000000000
190, 23, 0, 0, 8000000000
191, 23, 0, 0, 8000000000
192, 23, 0, 0, 8000000000
193, 23, 0, 0, 8000000000
194, 23, 0, 0, 8000000000
195, 23, 0, 0, 8000000000
196, 23, 0, 0, 8000000000
197, 23, 0, 0, 8000000000
198, 23, 0, 0, 8000000000
199, 23, 0, 0, 8000000000
200, 23, 0, 0, 8000000000
201, 23, 0, 0, 8000000000
202, 23, 0, 0, 8000000000
203, 23, 0, 0, 8000000000
204, 23, 0, 0, 8000000000
205, 23, 0, 0, 8000000000
206, 23, 0, 0, 8000000000
207, 23, 0, 0, 8000000000
208, 23, 0, 0, 8000000000
209, 23, 0, 0, 8000000000
210, 23, 0, 0, 8000000000
211, 23, 0, 0, 8000000000
212, 23, 0, 0, 8000000000
213, 23, 0, 0, 8000000000
214, 23, 0, 0, 8000000000
215, 23, 0, 0, 8000000000
216, 23, 0, 0, 8000000000
217, 23, 0, 0, 8000000000
218, 23, 0, 0, 8000000000
219, 23, 0, 0, 8000000000
220, 23, 0, 0, 8000000000
221, 23, 0, 0, 8000000000
222, 23, 0, 0, 8000000000
223, 23, 0, 0, 8000000000
224, 23, 0, 0, 8000000000
225, 23, 0, 0, 8000000000
226, 23, 0, 0, 8000000000
227, 23, 0, 0, 8000000000
228, 23, 0, 0, 8000000000
229, 23, 0, 0, 8000000000
230, 23, 0, 0, 8000000000
231, 23, 0, 0, 8000000000
232, 23, 0, 0, 8000000000
233, 23, 0, 0, 8000000000
234, 23, 0, 0, 8000000000
235, 23, 0, 0, 8000000000
236, 23, 0, 0, 8000000000
237, 23, 0, 0, 8000000000
238, 23, 0, 0, 8000000000
239, 23, 0, 0, 8000000000
240, 23, 0, 0, 8000000000
241, 23, 0, 0, 8000000000
242, 23, 0, 0, 8000000000
243, 23, 0, 0, 8000000000
244, 23, 0, 0, 8000000000
245, 23, 0, 0, 8000000000
246, 23, 0, 0, 8000000000
247, 23, 0, 0, 8000000000
248, 23, 0, 0, 8000000000
249, 23, 0, 0, 8000000000
250, 23, 0, 0, 8000000000
251, 23, 0, 0, 8000000000
252, 23, 0, 0, 8000000000
253, 23, 0, 0, 8000000000
254, 23, 0, 0, 8000000000
255, 23, 0, 0, 8000000000
256, 23, 0, 0, 8000000000
257, 23, 0, 0, 8000000000
258, 23, 0, 0, 8000000000
259, 23, 0, 0, 8000000000
260, 23, 0, 0, 8000000000
261, 23, 0, 0, 8000000000
262, 23, 0, 0, 8000000000
263, 23, 0, 0, 8000000000
264, 23, 0, 0, 8000000000
265, 23, 0, 0, 8000000000
266, 23, 0, 0, 8000000000
267, 23, 0, 0, 8000000000
268, 23, 0, 0, 8000000000
269, 23, 0, 0, 8000000000
270, 23, 0, 0, 8000000000
271, 23, 0, 0, 8000000000
272, 23, 0, 0, 8000000000
273, 23, 0, 0, 8000000000
274, 23, 0, 0, 8000000000
275, 23, 0, 0, 8000000000
276, 23, 0, 0, 8000000000
277, 23, 0, 0, 8000000000
278, 23, 0, 0, 8000000000
279, 23, 0, 0, 8000000000
280, 23, 0, 0, 8000000000
281, 23, 0, 0, 8000000000
282, 23, 0, 0, 8000000000
283, 23, 0, 0, 8000000000
284, 23, 0, 0, 8000000000
285, 23, 0, 0, 8000000000
286, 23, 0, 0, 8000000000
287, 23, 0, 0, 8000000000
288, 23, 0, 0, 8000000000
289, 23, 0, 0, 8000000000
290, 23, 0, 0, 8000000000
291, 23, 0, 0, 8000000000
292, 23, 0, 0, 8000000000
293, 23, 0, 0, 8000000000
294, 23, 0, 0, 8000000000
295, 23, 0, 0, 8000000000
296, 23, 0, 0, 8000000000
297, 23, 0, 0, 8000000000
298, 23, 0, 0, 8000000000
299, 23, 0, 0, 8000000000
300, 23, 0, 0, 8000000000
301, 23, 0, 0, 8000000000
302, 23, 0, 0, 8000000000
303, 23, 0, 0, 8000000000
304, 23, 0, 0, 8000000000
305, 23, 0, 0, 8000000000
306, 23, 0, 0, 8000000000
307, 23, 0, 0, 8000000000
308, 23, 0, 0, 8000000000
309, 23, 0, 0, 8000000000
310, 23, 0, 0, 8000000000
311, 23, 0, 0, 8000000000
312, 23, 0, 0, 8000000000
313, 23, 0, 0, 8000000000
314, 23, 0, 0, 8000000000
315, 23, 0, 0, 8000000000
316, 23, 0, 0, 8000000000
317, 23, 0, 0, 8000000000
318, 23, 0, 0, 8000000000
319, 23, 0, 0, 8000000000
320, 23, 0, 0, 8000000000
321, 23, 0, 0, 8000000000
322, 23, 0, 0, 8000000000
323, 23, 0, 0, 8000000000
324, 23, 0, 0, 8000000000
325, 23, 0, 0, 8000000000
326, 23, 0, 0, 8000000000
327, 23, 0, 0, 8000000000
328, 23, 0, 0, 8000000000
329, 23, 0, 0, 8000000000
330, 23, 0, 0, 8000000000
331, 23, 0, 0, 8000000000
332, 23, 0, 0, 8000000000
333, 23, 0, 0, 8000000000
334, 23, 0, 0, 8000000000
335, 23, 0, 0, 8000000000
336, 23, 0, 0, 8000000000
337, 23, 0, 0, 8000000000
338, 23, 0, 0, 8000000000
339, 23, 0, 0, 8000000000
340, 23, 0, 0, 8000000000
341, 23, 0, 0, 8000000000
342, 23, 0, 0, 8000000000
343, 23, 0, 0, 8000000000
